"acousticness" "duration" "energy" "liveness" "loudness" "tempo"
"426" 0.00105 182800 0.96 0.0801 -3.597 137.991
"427" 0.991 206147 0.291 0.301 -9.415 120.615
"428" 0.417 155960 0.438 0.11 -11.552 125.085
"429" 0.96 188067 0.46 0.178 -9.77 162.758
"430" 0.0104 249853 0.887 0.0457 -8.038 155.35
"431" 0.00295 239960 0.809 0.352 -11.623 91.919
"432" 0.589 190760 0.781 0.343 -4.803 109.232
"433" 0.945 265400 0.0944 0.568 -15.932 101.437
"434" 0.000281 302160 0.974 0.137 -3.423 143.009
"435" 0.259 176840 0.33 0.0704 -14.864 109.158
"436" 0.882 183427 0.185 0.0923 -17.321 139.039
"437" 0.00132 63390 0.923 0.261 -4.029 112.666
"438" 0.993 366627 0.0259 0.114 -28.49 85.025
"439" 0.0438 247733 0.541 0.251 -7.486 133.833
"440" 0.677 292225 0.651 0.198 -5.455 136.16
"441" 0.932 112267 0.122 0.111 -19.18 121.144
"442" 0.0111 141123 0.683 0.126 -5.165 173.852
"443" 0.986 198120 0.429 0.212 -17.734 142.183
"444" 0.897 204840 0.107 0.149 -16.483 60.44
"445" 0.0836 310533 0.672 0.074 -7.66 169.909
"446" 0.788 243040 0.284 0.323 -13.764 116.248
"447" 0.00241 221874 0.58 0.112 -5.273 104.41
"448" 0.916 173733 0.545 0.108 -18.644 156.974
"449" 0.107 276667 0.575 0.0393 -12.596 114.836
"450" 0.473 283933 0.759 0.115 -7.794 104.932
"451" 0.731 147093 0.329 0.358 -12.943 113.024
"452" 0.994 159791 0.177 0.0743 -13.385 35.451
"453" 0.0226 223600 0.844 0.084 -6.672 150.505
"454" 0.0492 212440 0.921 0.0877 -3.727 120
"455" 0.249 230733 0.562 0.151 -9.696 105.463
"456" 0.183 163240 0.925 0.97 -5.868 147.356
"457" 0.986 222228 0.403 0.933 -11.42 80.654
"458" 0.946 187920 0.278 0.352 -13.252 120.509
"459" 0.0219 310733 0.691 0.501 -8.09 156.141
"460" 0.992 206560 0.0489 0.12 -24.02 216.359
"461" 0.995 167001 0.289 0.112 -12.765 75.14
"462" 0.971 366400 0.136 0.107 -16.843 66.926
"463" 0.378 278507 0.499 0.097 -8.37 125.407
"464" 0.0395 297307 0.622 0.128 -7.651 77.663
"465" 0.00584 247442 0.71 0.232 -6.141 128.991
"466" 0.183 190606 0.686 0.0997 -5.019 152.617
"467" 0.763 149293 0.524 0.265 -6.273 147.451
"468" 0.314 210507 0.883 0.0828 -5.698 84.577
"469" 0.0155 125360 0.677 0.12 -5.703 98.01
"470" 0.993 196960 0.0611 0.131 -24.564 100.252
"471" 0.000541 208453 0.923 0.127 -7.458 146.924
"472" 0.184 161533 0.582 0.109 -6.589 83.238
"473" 0.822 127600 0.451 0.239 -18.335 123.596
"474" 0.00156 228400 0.586 0.118 -8.701 87.517
"475" 0.581 189133 0.677 0.375 -9.421 163.085
"476" 0.97 193640 0.149 0.11 -10.77 69.932
"477" 0.95 447027 0.133 0.203 -16.694 83.913
"478" 0.00223 255907 0.917 0.438 -9.897 124.497
"479" 0.887 343933 0.348 0.196 -11.451 79.956
"480" 0.988 206211 0.197 0.209 -13.432 120.238
"481" 0.881 103693 0.435 0.291 -10.049 101.587
"482" 0.0872 202200 0.702 0.0671 -8.543 139.095
"483" 0.198 207280 0.62 0.832 -11.033 131.059
